wine_id,taster_id,location_id,winery_id
302,NA,881,2117
303,NA,845,2436
304,NA,841,2455
305,19,1416,4825
306,2,1177,5291
307,16,330,5797
308,18,683,6493
309,NA,872,14270
310,NA,872,1574
311,9,1117,11919
312,NA,1440,11423
313,NA,881,13027
314,NA,1440,13378
315,NA,1063,1149
316,16,247,4287
317,16,247,4609
318,13,178,688
319,NA,1093,12006
320,NA,1063,12304
321,NA,1063,13739
322,NA,1063,13739
323,13,175,8880
324,NA,1061,9449
325,18,1555,10313
326,NA,1063,10763
327,13,183,5548
328,NA,1401,1193
329,NA,1415,1815
330,NA,1370,4911
331,13,167,5106
332,NA,1061,14316
333,NA,1063,14377
334,16,404,8931
335,NA,1061,9449
336,13,174,9395
337,11,457,4334
338,16,538,11006
339,13,1250,2634
340,3,226,610
341,19,1385,12346
342,13,1250,1147
343,13,196,12817
344,13,181,16115
345,9,97,2791
346,9,97,2791
347,2,632,13388
348,9,97,2791
349,9,51,15320
350,10,845,2633
351,7,695,11874
352,19,1468,13420
353,16,379,10276
354,2,632,13388
355,19,1468,13420
356,9,91,8977
357,16,316,3297
358,2,632,16398
359,16,310,12365
360,9,52,15320
361,10,845,1108
362,19,1384,8885
363,16,334,10276
364,15,1574,16535
365,9,55,16332
366,9,801,2155
367,13,187,5548
368,9,1045,11344
369,9,810,13479
370,NA,1508,13929
371,16,801,6884
372,16,1073,7969
373,16,807,1617
374,NA,1416,2700
375,NA,1026,15672
376,16,805,16295
377,16,674,16711
378,NA,1104,9444
379,9,824,9664
380,13,196,9764
381,9,1045,7690
382,13,187,2301
383,9,1078,15303
384,16,801,13697
385,NA,1469,16205
386,NA,1468,11031
387,NA,1348,11473
388,16,1387,9440
389,9,801,2155
390,13,187,2375
391,13,170,15653
392,NA,1490,1760
393,13,186,13700
394,13,187,15574
395,16,807,5127
396,NA,1362,4852
397,13,175,5106
398,13,178,688
399,NA,1063,773
400,NA,781,2198
401,NA,1063,15623
402,13,175,16052
403,NA,1362,16134
404,NA,1481,16201
405,NA,1060,16263
406,16,404,8931
407,13,167,9764
408,NA,1062,9939
409,18,1555,10958
410,18,1555,11129
411,NA,1362,11385
412,NA,1063,12304
413,NA,1060,12521
414,NA,1060,12521
415,18,1555,13144
416,NA,1060,1936
417,NA,1060,12521
418,16,111,11108
419,16,264,3216
420,16,247,3326
421,17,1606,8236
422,17,1616,9292
423,3,133,9363
424,8,1362,9783
425,2,1559,10090
426,13,1302,10305
427,2,1561,10411
428,3,115,10521
429,17,1615,11126
430,12,1490,11797
431,12,1525,11852
432,17,1614,12642
433,8,1481,12769
434,10,845,13241
435,3,126,7864
436,10,869,14909
437,19,1348,15444
438,13,1290,16207
439,13,1312,16207
440,17,1616,16336
441,3,119,16571
442,2,1558,16592
443,19,1508,6725
444,3,130,7034
445,10,898,7274
446,12,1457,7516
447,16,510,7780
448,9,561,508
449,10,786,10511
450,16,404,11248
451,10,1035,11303
452,16,375,12160
453,16,404,12366
454,17,156,12474
455,NA,1368,13378
456,19,1352,13445
457,NA,1489,13572
458,10,786,1137
459,16,404,2806
460,15,1581,4700
461,15,1574,4700
462,16,375,8454
463,16,404,16291
464,2,633,16583
465,10,1036,15666
466,16,404,5655
467,15,1586,6490
468,2,628,6668
469,2,628,6668
470,16,404,8281
471,16,307,8454
472,16,307,8454
473,16,1132,8490
474,16,404,9041
475,NA,1469,1118
476,NA,1440,2519
477,16,276,4686
478,16,404,5456
479,NA,888,13764
480,15,1613,14383
481,NA,900,698
482,NA,1519,886
483,11,1232,2235
484,11,1238,9277
485,9,562,10263
486,NA,1499,10391
487,NA,805,10646
488,NA,813,15897
489,NA,813,15897
490,13,1250,15611
491,16,115,16571
492,15,1616,16716
493,15,1613,8829
494,2,1555,9352
495,19,1388,9822
496,13,1303,10168
497,19,1521,11071
498,NA,1368,11080
499,16,539,6146
500,13,1302,6843
501,19,1408,7303
502,16,121,8262
503,NA,1468,8323
504,9,561,248
505,13,1312,300
506,NA,827,421
507,15,1615,2006
508,15,1618,2006
509,19,1440,1193
510,12,1423,1252
511,16,404,1672
512,16,404,1672
513,19,1375,5104
514,13,175,5106
515,19,1498,5416
516,19,1468,5526
517,19,1468,5526
518,16,374,6288
519,8,1361,12769
520,12,1387,13009
521,12,1387,13009
522,15,1586,13248
523,15,1571,13548
524,17,1608,14598
525,12,1354,15074
526,15,1574,15497
527,2,633,16583
528,16,404,9041
529,19,1468,9145
530,13,175,9764
531,15,1578,9850
532,15,1586,9850
533,15,1586,9850
534,12,1457,9938
535,2,628,10924
536,17,1616,11708
537,19,1440,11966
538,15,1584,12188
539,12,1387,4809
540,12,1489,7519
541,12,1489,7519
542,10,803,99
543,19,1440,11115
544,12,1525,11852
545,19,1440,10005
546,19,1498,10387
547,12,1357,15501
548,19,1394,8849
549,10,845,1711
550,19,1368,747
551,19,1508,2283
552,16,535,4674
553,13,7,4866
554,16,541,10801
555,17,1608,12139
556,13,1301,13221
557,12,1489,13712
558,8,1492,15055
559,19,1468,10098
560,19,1468,10098
561,8,1498,10226
562,19,1440,6831
563,12,1519,7519
564,12,1457,7613
565,12,1370,15501
566,19,1440,16613
567,13,7,1161
568,19,1398,16320
569,17,1606,339
570,17,1618,685
571,8,1528,1209
572,10,859,1742
573,16,251,2972
574,9,558,3219
575,16,251,3273
576,16,281,3354
577,2,1555,3979
578,16,246,4216
579,8,1362,5379
580,17,1617,13033
581,17,1604,13806
582,17,1615,14028
583,12,1486,14163
584,3,114,14499
585,17,1618,14531
586,3,122,14591
587,3,125,14591
588,8,1452,15440
589,3,111,15566
590,12,1457,16222
591,3,119,16571
592,17,1616,9374
593,3,119,9742
594,9,581,9823
595,17,1606,9460
596,18,648,10395
597,3,115,10521
598,12,1457,11114
599,NA,1348,11080
600,NA,869,11103
601,13,1104,11281
602,NA,1454,12055
603,2,1561,12231
604,13,1299,12734
605,13,7,12758
606,17,1582,12849
607,17,1582,12849
608,16,1143,12975
609,15,1571,13089
610,NA,1453,13441
611,NA,1368,13632
612,NA,1457,14040
613,16,1170,14293
614,NA,1074,14610
615,13,7,15248
616,NA,1468,879
617,NA,1049,894
618,NA,1365,991
619,NA,879,1622
620,NA,1049,1641
621,NA,1387,4809
622,17,1538,4977
623,17,1538,4977
624,17,1537,5049
625,NA,1073,5203
626,NA,1052,6558
627,NA,875,2455
628,9,70,9216
629,19,1468,16341
630,15,1587,16499
631,3,226,16521
632,3,226,9024
633,9,101,16664
634,19,1385,714
635,13,1302,10737
636,9,52,15320
637,3,226,1246
638,3,226,6551
639,3,226,6551
640,12,1489,7627
641,19,1362,10005
642,16,1132,10350
643,19,1498,10995
644,12,1457,11658
645,15,1586,12827
646,16,1162,12891
647,16,1143,12965
648,2,628,13179
649,19,1440,14557
650,10,807,14606
651,3,226,9421
652,9,104,12528
653,12,1355,13897
654,3,226,14195
655,8,1421,14421
656,15,1574,14547
657,11,1205,7124
658,19,1409,16152
659,17,1616,15613
660,19,1432,16637
661,8,1415,11280
662,10,845,12019
663,19,1467,12065
664,10,857,12228
665,10,837,12575
666,17,1606,12588
667,13,1286,13041
668,2,1561,13082
669,17,1616,14030
670,17,1606,14258
671,19,1440,14451
672,2,1558,15124
673,8,1352,15166
674,19,1368,15465
675,19,1368,116
676,17,1618,730
677,10,1008,962
678,10,1008,962
679,17,1606,1037
680,13,1302,1450
681,17,1606,1851
682,10,880,2536
683,10,1005,2540
684,17,1608,4566
685,19,1498,4957
686,10,845,5058
687,12,1486,5154
688,17,1613,11398
689,12,1481,11510
690,3,111,11671
691,8,1407,11716
692,10,1016,12602
693,19,1499,12713
694,11,1232,13252
695,10,996,13561
696,9,1119,13622
697,3,130,14273
698,17,1606,16602
699,11,1230,9217
700,13,7,6845
701,16,539,3169
702,16,539,4458
703,16,539,4527
704,16,535,4674
705,9,1119,4944
706,16,539,5948
707,16,539,6146
708,16,539,6476
709,19,1385,6698
710,9,1120,6700
711,19,1468,6749
712,19,1468,7130
713,19,1468,7721
714,9,1113,241
715,13,13,1181
716,9,1113,2321
717,16,539,8989
718,16,1146,2430
719,16,368,2657
720,16,1132,5220
721,13,11,5804
722,13,7,11009
723,16,1170,11045
724,1,1592,11239
725,10,845,12057
726,16,1170,12929
727,15,1578,13093
728,13,29,15031
729,16,1132,8490
730,8,1362,8922
731,11,423,9343
732,16,327,6382
733,16,312,6435
734,13,7,6739
735,13,20,6847
736,12,1457,7301
737,16,1153,16565
738,13,4,9699
739,10,845,10633
740,1,1592,10967
741,16,331,12155
742,16,395,12190
743,19,1385,12230
744,10,836,12812
745,16,1133,13264
746,9,37,8928
747,NA,1498,16513
748,2,1555,2377
749,16,226,2640
750,NA,1498,5544
751,13,170,5548
752,16,226,6629
753,NA,1387,2748
754,13,1302,6843
755,NA,1352,8320
756,NA,1440,9424
757,NA,1489,9748
758,NA,1498,10431
759,19,1524,11259
760,NA,1385,11427
761,13,175,11663
762,13,1303,11893
763,13,1303,11948
764,NA,1451,12199
765,NA,1440,13364
766,9,82,47
767,13,1294,10587
768,9,37,10972
769,NA,927,12148
770,16,404,7768
771,NA,1394,8849
772,16,404,9008
773,16,1133,11256
774,15,1586,12167
775,15,1586,12167
776,16,404,12428
777,NA,805,13908
778,15,1574,174
779,16,404,1811
780,NA,1031,2510
781,NA,826,7319
782,NA,1354,9683
783,NA,1348,1119
784,16,1143,12978
785,13,29,13701
786,16,1143,14266
787,19,1469,14439
788,13,8,16063
789,2,628,16305
790,17,1606,992
791,15,1571,1083
792,16,270,1199
793,17,1618,1744
794,12,1490,1875
795,16,281,3111
796,16,265,3732
797,16,270,3812
798,16,263,4254
799,16,269,4268
800,12,1490,4717
801,19,1508,5581
802,16,239,6215
803,17,1613,6816
804,17,1602,6816
805,15,1578,7466
806,8,1492,8850
807,9,93,9378
808,10,777,11214
809,13,1276,7393
810,19,1469,233
811,2,624,2493
812,8,1417,6615
813,9,52,15320
814,10,1020,15649
815,17,1615,7454
816,2,1555,9301
817,13,175,9602
818,16,232,10056
819,16,591,11236
820,13,1302,11560
821,13,1250,12143
822,10,1020,13294
823,12,1457,14539
824,8,1362,14552
825,10,993,14931
826,10,1020,14941
827,13,178,15026
828,16,595,4934
829,15,1606,5052
830,16,232,6051
831,16,241,6151
832,16,228,6180
833,10,878,6639
834,13,185,7774
835,16,228,7890
836,13,1250,9185
837,13,1250,9185
838,15,1616,9374
839,2,1555,9733
840,16,230,9814
841,8,1362,9950
842,16,232,10569
843,15,1606,10791
844,10,898,5257
845,10,918,5400
846,3,226,5779
847,3,226,5803
848,16,371,5856
849,16,337,6202
850,16,292,6267
851,16,371,6438
852,3,226,6451
853,2,628,6661
854,8,1350,6778
855,12,1387,6809
856,10,977,7241
857,12,1481,7335
858,15,1578,7466
859,19,1517,7576
860,12,1524,7906
861,10,898,8091
862,10,898,15331
863,12,1519,16430
864,2,622,16573
865,10,916,907
866,9,70,1188
867,15,1571,2256
868,13,175,2301
869,12,1357,2368
870,8,1417,8171
871,19,1440,8495
872,15,1578,8903
873,7,695,3402
874,16,1143,12984
875,16,1143,13493
876,13,1256,15673
877,NA,992,2754
878,16,282,2928
879,16,269,3534
880,NA,1409,4852
881,13,1256,7745
882,NA,1440,7762
883,NA,992,8702
884,NA,1468,8877
885,NA,1385,9365
886,11,461,10289
887,16,1143,10696
888,15,1618,11934
889,NA,1519,11956
890,NA,1440,12378
891,NA,1489,30
892,15,1606,1191
893,9,37,8665
894,NA,1016,8930
895,NA,1026,9849
896,19,1524,9996
897,15,1606,10702
898,NA,1026,10761
899,NA,996,10940
900,13,1256,11377
901,16,1143,12984
902,1,1593,1097
903,2,630,1235
904,10,836,1574
905,1,1592,1737
906,1,1593,1737
907,16,1170,2361
908,10,836,2441
909,10,836,2536
910,13,14,631
911,11,423,7695
912,15,1586,7753
913,14,1620,8078
914,13,30,8098
915,15,1586,4970
916,15,1586,4970
917,10,845,5617
918,10,845,5691
919,13,11,5804
920,9,34,7087
921,16,1162,7153
922,13,11,7440
923,16,1162,7476
924,9,49,14100
925,8,1491,15055
926,13,11,625
927,16,1170,849
928,10,836,1066
929,8,1350,1122
930,13,7,1390
931,10,845,1628
932,16,245,4167
933,16,251,4302
934,16,246,4536
935,16,245,4541
936,15,1586,4700
937,15,1574,4700
938,13,1302,5280
939,8,1407,5362
940,16,404,6724
941,13,1284,6819
942,19,1468,6835
943,13,1302,7398
944,15,1582,7538
945,19,1499,7646
946,19,1469,7667
947,16,1143,13115
948,16,1132,13776
949,10,854,15389
950,19,1409,16152
951,8,1530,16672
952,13,1254,225
953,15,1586,441
954,8,1408,676
955,10,845,1211
956,10,956,2178
957,19,1468,2274
958,13,1294,8726
960,16,245,3048
961,16,251,3195
962,16,404,16313
963,16,264,4353
964,NA,788,7121
965,NA,971,16211
966,9,1119,9368
967,13,167,13752
968,NA,1042,15303
969,13,187,11362
970,NA,1362,11841
971,16,404,12641
972,NA,1377,13610
973,NA,1348,312
974,15,1616,5282
975,NA,916,7352
976,NA,1362,9279
977,NA,1521,9959
978,NA,1451,16626
979,16,247,4013
980,NA,1037,11344
981,16,247,16681
982,NA,1058,1142
983,NA,1352,1733
984,18,1171,1884
985,13,7,12122
986,16,1154,12926
987,NA,52,14102
988,15,1578,9675
989,13,1312,10915
990,NA,1362,5462
991,16,616,6024
992,16,599,6111
993,16,616,6170
994,16,521,7618
995,NA,916,1158
996,NA,916,2332
997,9,51,16642
998,15,1574,15114
999,15,1586,472
1000,15,1582,670
1001,NA,898,1158
1002,15,1586,1179
1003,16,610,4424
1004,16,610,4424
1005,16,516,6420
1006,15,1576,7109
1007,16,513,7618
1008,NA,59,11622
1009,NA,187,14763
1010,15,1574,15114
1011,NA,1555,8672
1012,10,898,595
1013,10,916,908
1014,12,1457,1732
1015,12,1524,1997
1016,10,916,2364
1017,10,916,2364
1018,16,226,13563
1019,19,1440,14409
1020,15,1586,14461
1021,13,7,15031
1022,10,916,5387
1023,14,701,5445
1024,16,226,5779
1025,12,1396,6678
1026,15,1578,7466
1027,15,1582,7538
1028,13,1309,7775
1029,13,1291,8066
1030,19,1368,8191
1031,13,1301,10101
1032,9,1119,11830
1033,12,1355,15771
1034,16,226,15849
1035,10,918,16265
1036,10,898,16272
1037,17,1585,16488
1038,9,1117,11140
1039,13,1279,12215
1040,13,7,14646
1041,9,1117,887
1042,13,1302,13212
1043,16,119,14022
1044,NA,819,14918
1045,15,1586,8594
1046,NA,805,8696
1047,NA,1440,8854
1048,16,476,9257
1049,16,476,9257
1050,NA,1362,10128
1051,13,1279,10748
1052,NA,1362,7051
1053,13,1302,7412
1054,NA,805,16123
1055,16,115,16571
1056,16,119,8095
1057,13,170,1656
1058,NA,1370,1758
1059,NA,809,1967
1060,16,609,2936
1061,16,420,4932
1062,NA,805,5053
1063,18,1207,11890
1064,NA,916,12735
1065,16,1154,13719
1066,8,1350,13893
1067,19,1498,13917
1068,15,1586,15446
1069,15,1574,1192
1070,15,1587,1192
1071,10,845,10919
1072,16,1143,12540
1073,16,1154,12985
1074,9,52,13846
1075,19,1368,14048
1076,16,521,377
1077,10,845,763
1078,15,1586,1192
1079,15,1586,1258
1080,15,1581,15446
1081,15,1574,15446
1082,17,1585,8616
1083,19,1384,8885
1084,16,523,3341
1085,19,1469,15418
1086,15,1587,15446
1087,19,1498,16518
1088,17,1585,2696
1089,19,1440,2813
1090,16,1154,4763
1091,19,1498,4957
1092,15,1571,5710
1093,16,521,5790
1094,15,1576,6694
1095,19,1440,13378
1096,13,187,13745
1097,15,1618,14531
1098,19,1440,13586
1099,12,1457,14040
1100,13,191,15653
1101,3,119,16420
1102,19,1498,9743
1103,15,1618,11020
1104,9,558,11090
1105,10,872,11508
1106,15,1618,1027
1107,8,1528,1209
1108,12,1370,1605
1109,10,1035,2317
1110,13,1301,2403
1111,13,1250,2564
1112,9,558,3177
1113,17,1608,4566
1114,10,1020,4800
1115,13,1301,5083
1116,8,1362,5148
1117,12,1457,5488
1118,10,1021,5591
1119,16,601,5922
1120,16,416,6452
1121,16,424,6457
1122,2,1562,15208
1123,17,1610,16526
1124,17,1610,16526
1125,19,1507,1112
1126,16,265,3492
1127,16,270,3893
1128,16,270,4260
1129,13,191,633
1130,19,1440,8796
1131,9,1119,2849
1132,16,246,4156
1133,16,270,4284
1134,16,251,4685
1135,13,171,5078
1136,19,1440,7105
1137,10,918,2189
1138,10,929,8194
1139,19,1440,10448
1140,2,1556,11136
1141,13,181,13767
1142,8,1408,13895
1143,8,1415,14397
1144,19,1440,9334
1145,16,246,10050
1146,10,935,11728
1147,17,1606,992
1148,10,916,2189
1149,16,270,4157
1150,13,170,5078
1151,2,1559,12672
1152,15,1606,16467
1153,16,124,16567
1154,9,55,7459
1155,18,646,12018
1156,16,115,7300
1157,NA,1415,7868
1158,16,111,8262
1159,16,111,8262
1160,18,655,15479
1161,NA,1060,1287
1162,NA,1061,2304
1163,NA,1061,2316
1164,NA,1063,4985
1165,NA,1447,7915
1166,NA,1508,16421
1167,NA,1060,16742
1168,15,1606,10255
1169,NA,1060,15283
1170,13,7,15385
1171,9,633,10274
1172,NA,1498,12017
1173,NA,1468,13387
1174,13,7,13587
1175,16,111,13851
1177,16,1143,16565
1178,13,13,16741
1179,16,333,919
1180,8,1352,947
1181,10,836,1108
1182,9,77,1188
1183,10,845,1378
1184,10,845,1777
1185,16,1133,2336
1186,16,368,2661
1187,14,1332,2793
1188,16,395,3256
1189,16,310,3375
1190,8,1362,4733
1191,16,386,4752
1192,16,423,7172
1193,13,7,7422
1194,13,7,419
1195,13,14,631
1196,15,1586,809
1197,10,836,1066
1198,9,89,1154
1199,9,77,1188
1200,2,631,1358
1201,16,386,1669
1202,1,1592,1737
1203,8,1362,2014
1204,16,1146,2430
1205,10,845,2445
1206,15,1586,4970
1207,10,845,12575
1208,16,1143,12889
1209,8,1352,13445
1210,19,1348,14427
1211,19,1531,14735
1212,12,1489,14750
1213,12,1519,16435
1214,19,1359,189
1215,16,1143,889
1216,12,1459,1047
1217,10,885,1076
1218,10,777,1821
1219,12,1481,2751
1220,16,281,4615
1221,12,1519,7335
1222,12,1357,8417
1223,19,1394,8849
1224,16,1133,8900
1225,8,1521,9162
1226,19,1468,10203
1227,12,1489,12509
1228,12,1519,12628
1229,16,1143,13937
1230,12,1519,14750
1231,8,1422,16456
1232,19,1348,747
1233,19,1468,944
1234,12,1489,1250
1235,12,1370,1397
1236,12,1489,2012
1237,NA,996,213
1238,16,246,1036
1239,NA,996,2499
1240,16,271,3884
1241,15,1606,4566
1242,18,1228,5469
1243,9,631,6674
1244,NA,1440,6996
1245,18,1232,11453
1246,NA,1469,12778
1247,18,1228,13298
1248,15,1606,14282
1249,15,1606,8611
1250,NA,996,9731
1251,9,631,9984
1252,9,631,16023
1253,15,1617,16356
1254,15,1606,16356
1255,18,1232,8237
1256,NA,1440,1118
1257,13,1302,2020
1258,NA,993,2227
1259,13,1264,15770
1260,NA,916,7468
1261,NA,916,7544
1262,19,1381,8324
1263,2,1554,8618
1264,NA,1468,497
1265,11,698,987
1266,2,1546,1320
1267,NA,1362,5232
1268,NA,916,5387
1269,13,1279,10382
1270,NA,1440,10703
1271,19,1408,11073
1272,NA,916,10456
1273,NA,1468,9584
1274,NA,916,10853
1275,NA,1440,11531
1276,NA,1508,12339
1277,NA,1508,12339
1278,NA,916,13225
1279,16,1170,849
1280,13,1273,1480
1281,13,1301,1524
1282,2,1559,1795
1283,NA,916,1967
1284,16,368,2649
1285,9,1119,5503
1286,10,956,7342
1287,19,1499,7916
1288,10,801,8192
1289,2,633,8266
1290,10,801,2145
1291,10,801,2155
1292,10,824,2741
1293,19,1520,4847
1294,13,1256,4902
1295,12,1481,5111
1296,16,510,6546
1297,10,833,2666
1298,8,1391,2704
1299,10,801,5050
1300,12,1481,5623
1301,16,505,5943
1302,16,521,6041
1303,2,632,6556
1304,2,628,6659
1305,13,1239,11899
1306,13,1254,12490
1307,15,1574,12827
1308,16,1170,13002
1309,19,1508,13506
1310,12,1457,14539
1311,19,1348,14627
1312,10,801,14928
1313,19,1440,15014
1314,10,801,15233
1315,10,801,15377
1316,10,956,15815
1317,19,1468,16250
1318,19,1468,16250
1319,9,1111,16658
1320,3,134,16691
1321,13,1254,275
1322,3,114,346
1323,13,1250,379
1324,19,1519,480
1325,12,1457,760
1326,13,1302,913
1327,9,1113,2321
1328,12,1519,2785
1329,16,598,3133
1330,16,541,3617
1331,16,583,4100
1332,16,607,4901
1333,19,1468,5345
1334,2,1555,5453
1335,2,1555,5453
1336,19,1468,5526
1337,10,956,5677
1338,16,539,5853
1339,16,538,6252
1340,16,539,6476
1341,3,129,6555
1342,19,1508,6632
1343,12,1457,6791
1344,10,916,7352
1345,15,1582,8203
1346,13,7,15248
1347,NA,975,15994
1348,15,1617,11
1349,NA,916,1026
1350,NA,977,2247
1351,16,251,2976
1352,16,265,3479
1353,16,250,4090
1354,NA,1362,5498
1355,15,1606,7522
1356,16,281,8612
1357,13,1299,1446
1358,13,1302,1859
1359,NA,1468,15276
1360,19,1451,12282
1361,NA,916,14514
1362,NA,1457,14695
1363,NA,972,15340
1364,16,281,3246
1365,9,539,13621
1366,13,187,13745
1367,16,539,3169
1368,NA,1519,7788
1369,NA,809,953
1370,NA,1416,1608
1371,18,1590,2776
1372,NA,827,5675
1373,NA,1388,9822
1374,NA,1492,9825
1375,9,542,10805
1376,NA,1350,11326
1377,16,1143,12942
1378,15,1606,14613
1379,9,542,10805
1380,NA,1492,14530
1381,NA,1491,14567
1382,13,178,15021
1383,NA,1408,7303
1384,10,807,13201
1385,2,628,13597
1386,15,1583,13864
1387,10,807,14988
1388,19,1468,821
1389,11,1233,15034
1390,11,1233,5597
1391,10,803,99
1392,12,1486,645
1393,12,1490,1204
1394,13,7,1413
1395,19,1368,1665
1396,1,1547,1818
1397,16,1154,1843
1398,2,628,1893
1399,10,801,1974
1400,16,1142,2347
