location_id,country,province,region
67,Australia,South Australia,Limestone Coast
68,Australia,South Australia,McLaren Vale
69,Australia,South Australia,McLaren Vale-Adelaide Hills
70,Australia,South Australia,McLaren Vale-Padthaway
71,Australia,South Australia,Padthaway
72,Australia,South Australia,Piccadilly Valley
73,Australia,South Australia,Riverland
74,Australia,South Australia,South Australia
75,Australia,South Australia,Southern Fleurieu
76,Australia,South Australia,Wrattonbully
77,Australia,South Australia,NA
78,Australia,Tasmania,Tasmania
79,Australia,Victoria,Alpine Valleys
80,Australia,Victoria,Beechworth
81,Australia,Victoria,Bendigo
82,Australia,Victoria,Central Victoria
83,Australia,Victoria,Geelong
84,Australia,Victoria,Gippsland
85,Australia,Victoria,Goulburn Valley
86,Australia,Victoria,Grampians
87,Australia,Victoria,Heathcote
88,Australia,Victoria,King Valley
89,Australia,Victoria,Mornington Peninsula
90,Australia,Victoria,Murray-Darling
91,Australia,Victoria,Nagambie Lakes
92,Australia,Victoria,Pyrenees
93,Australia,Victoria,Rutherglen
94,Australia,Victoria,Strathbogie Ranges
95,Australia,Victoria,Swan Hill
96,Australia,Victoria,Victoria
97,Australia,Victoria,Yarra Valley
98,Australia,Western Australia,Frankland River
99,Australia,Western Australia,Geographe
100,Australia,Western Australia,Great Southern
101,Australia,Western Australia,Margaret River
102,Australia,Western Australia,Mount Barker
103,Australia,Western Australia,Pemberton
104,Australia,Western Australia,Western Australia
105,Austria,Austria,NA
106,Austria,Burgenland,NA
107,Austria,Carnuntum,NA
108,Austria,Eisenberg,NA
109,Austria,Kamptal,NA
110,Austria,Kremstal,NA
111,Austria,Leithaberg,NA
112,Austria,Mittelburgenland,NA
113,Austria,Neusiedlersee,NA
114,Austria,Niederösterreich,NA
115,Austria,Österreichischer Perlwein,NA
116,Austria,Österreichischer Sekt,NA
117,Austria,Steiermark,NA
118,Austria,Südburgenland,NA
119,Austria,Südoststeiermark,NA
120,Austria,Südsteiermark,NA
121,Austria,Thermenregion,NA
122,Austria,Traisental,NA
123,Austria,Vienna,NA
124,Austria,Wachau,NA
125,Austria,Wagram,NA
126,Austria,Wagram-Donauland,NA
127,Austria,Weinland Österreich,NA
128,Austria,Weinviertel,NA
129,Austria,Wiener Gemischter Satz,NA
130,Bosnia and Herzegovina,Mostar,NA
131,Brazil,Brazil,NA
132,Brazil,Campanha,NA
133,Brazil,Pinto Bandeira,NA
134,Brazil,Santa Catarina,NA
135,Brazil,Serra do Sudeste,NA
136,Brazil,Serra Gaúcha,NA
137,Brazil,Vale dos Vinhedos,NA
138,Brazil,Vale Trentino,NA
139,Bulgaria,Black Sea Coastal,NA
140,Bulgaria,Bulgaria,NA
141,Bulgaria,Danube River Plains,NA
142,Bulgaria,Thracian Valley,NA
143,Canada,British Columbia,British Columbia
144,Canada,British Columbia,Okanagan Valley
145,Canada,British Columbia,Similkameen Valley
146,Canada,Canada Other,Canada
147,Canada,Ontario,Beamsville Bench
148,Canada,Ontario,Lake Erie North Shore
149,Canada,Ontario,Niagara Escarpment
150,Canada,Ontario,Niagara Peninsula
151,Canada,Ontario,Niagara-On-The-Lake
152,Canada,Ontario,Prince Edward County
153,Canada,Ontario,Short Hills Bench
154,Canada,Ontario,St. David's Bench
155,Chile,Aconcagua Costa,NA
156,Chile,Aconcagua Valley,NA
157,Chile,Apalta,NA
158,Chile,Bío Bío Valley,NA
159,Chile,Buin,NA
160,Chile,Cachapoal Valley,NA
161,Chile,Casablanca & Leyda Valleys,NA
162,Chile,Casablanca Valley,NA
163,Chile,Casablanca-Curicó Valley,NA
164,Chile,Cauquenes Valley,NA
165,Chile,Central Valley,NA
166,Chile,Chile,NA
167,Chile,Choapa Valley,NA
168,Chile,Coelemu,NA
169,Chile,Colchagua Costa,NA
170,Chile,Colchagua Valley,NA
171,Chile,Curicó and Leyda Valleys,NA
172,Chile,Curicó and Maipo Valleys,NA
173,Chile,Curicó Valley,NA
174,Chile,Elqui Valley,NA
175,Chile,Itata Valley,NA
176,Chile,Leyda Valley,NA
177,Chile,Leyda Valley-Maipo Valley,NA
178,Chile,Limarí Valley,NA
179,Chile,Lolol Valley,NA
180,Chile,Loncomilla Valley,NA
181,Chile,Lontué Valley,NA
182,Chile,Maipo Valley,NA
183,Chile,Maipo Valley-Colchagua Valley,NA
184,Chile,Malleco,NA
185,Chile,Marchigue,NA
186,Chile,Maule Valley,NA
187,Chile,Molina,NA
188,Chile,Peumo,NA
189,Chile,Pirque,NA
190,Chile,Puente Alto,NA
191,Chile,Rapel Valley,NA
192,Chile,Requinoa,NA
193,Chile,Rio Claro,NA
194,Chile,Sagrada Familia,NA
195,Chile,San Antonio,NA
196,Chile,San Clemente,NA
197,Chile,Santa Cruz,NA
198,China,China,NA
199,Croatia,Croatia,NA
200,Croatia,Dalmatian Coast,NA
201,Croatia,Dingač,NA
202,Croatia,Hrvatsko Primorje,NA
203,Croatia,Hvar,NA
204,Croatia,Istria,NA
205,Croatia,Korčula,NA
206,Croatia,Krk,NA
207,Croatia,Kutjevo,NA
208,Croatia,Middle and South Dalmatia,NA
209,Croatia,North Dalmatia,NA
210,Croatia,Peljesac,NA
211,Croatia,Podunavlje,NA
212,Cyprus,Commandaria,NA
213,Cyprus,Cyprus,NA
214,Cyprus,Kathikas,NA
215,Cyprus,Lemesos,NA
216,Cyprus,Pafos,NA
217,Cyprus,Pitsilia Mountains,NA
218,Czech Republic,Moravia,NA
219,Egypt,Egypt,NA
220,England,England,NA
221,France,Alsace,Alsace
222,France,Alsace,Crémant d'Alsace
223,France,Beaujolais,Beaujolais
224,France,Beaujolais,Beaujolais Blanc
225,France,Beaujolais,Beaujolais Rosé
226,France,Beaujolais,Beaujolais-Leynes
227,France,Beaujolais,Beaujolais-Villages
228,France,Beaujolais,Brouilly
229,France,Beaujolais,Chénas
230,France,Beaujolais,Chiroubles
231,France,Beaujolais,Côte de Brouilly
232,France,Beaujolais,Coteaux du Lyonnais
233,France,Beaujolais,Fleurie
234,France,Beaujolais,Juliénas
235,France,Beaujolais,Morgon
236,France,Beaujolais,Moulin-à-Vent
237,France,Beaujolais,Régnié
238,France,Beaujolais,Saint-Amour
239,France,Bordeaux,Barsac
240,France,Bordeaux,Blaye Côtes de Bordeaux
241,France,Bordeaux,Bordeaux
242,France,Bordeaux,Bordeaux Blanc
243,France,Bordeaux,Bordeaux Clairet
244,France,Bordeaux,Bordeaux Côtes de Francs
245,France,Bordeaux,Bordeaux Rosé
246,France,Bordeaux,Bordeaux Supérieur
247,France,Bordeaux,Cadillac
248,France,Bordeaux,Cadillac Côtes de Bordeaux
249,France,Bordeaux,Canon-Fronsac
250,France,Bordeaux,Castillon Côtes de Bordeaux
251,France,Bordeaux,Cérons
252,France,Bordeaux,Côtes de Bordeaux
253,France,Bordeaux,Côtes de Bourg
254,France,Bordeaux,Côtes de Castillon
255,France,Bordeaux,Crémant de Bordeaux
256,France,Bordeaux,Entre-Deux-Mers
257,France,Bordeaux,Francs Côtes de Bordeaux
258,France,Bordeaux,Fronsac
259,France,Bordeaux,Graves
260,France,Bordeaux,Haut-Médoc
261,France,Bordeaux,Lalande de Pomerol
262,France,Bordeaux,Listrac-Médoc
263,France,Bordeaux,Lussac Saint-Émilion
264,France,Bordeaux,Margaux
265,France,Bordeaux,Médoc
266,France,Bordeaux,Montagne-Saint-Émilion
267,France,Bordeaux,Moulis
268,France,Bordeaux,Moulis-en-Médoc
269,France,Bordeaux,Pauillac
270,France,Bordeaux,Pessac-Léognan
271,France,Bordeaux,Pomerol
272,France,Bordeaux,Premieres Côtes de Blaye
273,France,Bordeaux,Premieres Côtes de Bordeaux
274,France,Bordeaux,Puisseguin Saint-Émilion
275,France,Bordeaux,Saint-Croix-du-Mont
276,France,Bordeaux,Saint-Émilion
277,France,Bordeaux,Saint-Estèphe
278,France,Bordeaux,Saint-Georges-Saint-Émilion
279,France,Bordeaux,Saint-Julien
280,France,Bordeaux,Sainte-Foy Bordeaux
281,France,Bordeaux,Sauternes
282,France,Bordeaux,Vin de Pays de l'Atlantique
283,France,Bordeaux,NA
284,France,Burgundy,Aloxe-Corton
285,France,Burgundy,Auxey-Duresses
286,France,Burgundy,Bâtard-Montrachet
287,France,Burgundy,Beaune
288,France,Burgundy,Bienvenues Bâtard-Montrachet
289,France,Burgundy,Bonnes-Mares
290,France,Burgundy,Bourgogne
291,France,Burgundy,Bourgogne Aligoté
292,France,Burgundy,Bourgogne Côtes d’Auxerre
293,France,Burgundy,Bourgogne Epineuil
294,France,Burgundy,Bourgogne Gamay
295,France,Burgundy,Bourgogne Hautes Côtes de Beaune
296,France,Burgundy,Bourgogne Hautes Côtes de Nuits
297,France,Burgundy,Bourgogne Vézelay
298,France,Burgundy,Burgundy
299,France,Burgundy,Chablis
300,France,Burgundy,Chambertin
301,France,Burgundy,Chambertin Clos de Bèze
302,France,Burgundy,Chambolle-Musigny
303,France,Burgundy,Chapelle-Chambertin
304,France,Burgundy,Charmes-Chambertin
305,France,Burgundy,Chassagne-Montrachet
306,France,Burgundy,Chevalier-Montrachet
307,France,Burgundy,Chorey-lès-Beaune
308,France,Burgundy,Clos de la Roche
309,France,Burgundy,Clos de Lambrays
310,France,Burgundy,Clos de Tart
311,France,Burgundy,Clos de Vougeot
312,France,Burgundy,Clos Saint-Denis
313,France,Burgundy,Corton
314,France,Burgundy,Corton Grèves
315,France,Burgundy,Corton Les Renardes
316,France,Burgundy,Corton Perrières
317,France,Burgundy,Corton Vergennes
318,France,Burgundy,Corton-Bressandes
319,France,Burgundy,Corton-Charlemagne
320,France,Burgundy,Corton-Pougets
321,France,Burgundy,Corton-Rognet
322,France,Burgundy,Côte Chalonnaise
323,France,Burgundy,Côte de Beaune
324,France,Burgundy,Côte de Beaune-Villages
325,France,Burgundy,Côte de Nuits-Villages
326,France,Burgundy,Coteaux Bourguignons
327,France,Burgundy,Côtes de Nuits Villages
328,France,Burgundy,Crémant de Bourgogne
329,France,Burgundy,Criots-Bâtard-Montrachet
330,France,Burgundy,Echézeaux
331,France,Burgundy,Fixin
332,France,Burgundy,Gevrey-Chambertin
333,France,Burgundy,Givry
334,France,Burgundy,Grands-Echezeaux
335,France,Burgundy,Hautes Cotes de Beaune
336,France,Burgundy,Hautes Côtes de Nuits
337,France,Burgundy,Irancy
338,France,Burgundy,La Grande Rue
339,France,Burgundy,La Romanée
340,France,Burgundy,Ladoix
341,France,Burgundy,Latricières-Chambertin
342,France,Burgundy,Mâcon
343,France,Burgundy,Mâcon Chaintré
344,France,Burgundy,Mâcon La Roche Vineuse
345,France,Burgundy,Mâcon Solutré
346,France,Burgundy,Mâcon-Azé
347,France,Burgundy,Macon-Bussières
348,France,Burgundy,Mâcon-Chardonnay
349,France,Burgundy,Mâcon-Charnay
350,France,Burgundy,Mâcon-Cruzille
351,France,Burgundy,Mâcon-Davayé
352,France,Burgundy,Mâcon-Fuissé
353,France,Burgundy,Mâcon-Loché
354,France,Burgundy,Mâcon-Lugny
355,France,Burgundy,Mâcon-Mancey
356,France,Burgundy,Mâcon-Milly Lamartine
357,France,Burgundy,Mâcon-Péronne
358,France,Burgundy,Mâcon-Pierreclos
359,France,Burgundy,Mâcon-Prissé
360,France,Burgundy,Mâcon-Uchizy
361,France,Burgundy,Mâcon-Vergisson
362,France,Burgundy,Mâcon-Verze
363,France,Burgundy,Mâcon-Villages
364,France,Burgundy,Mâcon-Vinzelles
365,France,Burgundy,Maranges
366,France,Burgundy,Marsannay
367,France,Burgundy,Mazis-Chambertin
368,France,Burgundy,Mazoyeres-Chambertin
369,France,Burgundy,Mercurey
370,France,Burgundy,Meursault
371,France,Burgundy,Meursault-Blagny
372,France,Burgundy,Montagny
373,France,Burgundy,Monthélie
374,France,Burgundy,Montrachet
375,France,Burgundy,Morey-Saint-Denis
376,France,Burgundy,Musigny
377,France,Burgundy,Nuits-St.-Georges
378,France,Burgundy,Pernand-Vergelesses
379,France,Burgundy,Petit Chablis
380,France,Burgundy,Pommard
381,France,Burgundy,Pouilly-Fuissé
382,France,Burgundy,Pouilly-Loché
383,France,Burgundy,Pouilly-Vinzelles
384,France,Burgundy,Puligny-Montrachet
385,France,Burgundy,Romanée-St.-Vivant
386,France,Burgundy,Rully
387,France,Burgundy,Saint-Aubin
388,France,Burgundy,Saint-Bris
389,France,Burgundy,Saint-Romain
390,France,Burgundy,Saint-Véran
391,France,Burgundy,Santenay
392,France,Burgundy,Savigny-lès-Beaune
393,France,Burgundy,St.-Romain
394,France,Burgundy,Viré-Clessé
395,France,Burgundy,Volnay
396,France,Burgundy,Vosne-Romanée
397,France,Burgundy,Vougeot
398,France,Burgundy,NA
399,France,Champagne,Champagne
400,France,France Other,Apremont
401,France,France Other,Arbois
402,France,France Other,Atlantique
403,France,France Other,Charentais
404,France,France Other,Château-Chalon
405,France,France Other,Chignin
406,France,France Other,Chignin-Bergeron
407,France,France Other,Corse
408,France,France Other,Corse Porto Vecchio
409,France,France Other,Côtes de Forez
410,France,France Other,Côtes du Jura
411,France,France Other,Crémant de Jura
412,France,France Other,France
413,France,France Other,Ile de Beauté
414,France,France Other,Mediterranée
415,France,France Other,Patrimonio
416,France,France Other,Roussette de Savoie
417,France,France Other,Savoie
418,France,France Other,Vin de France
419,France,France Other,Vin de Liqueur
420,France,France Other,Vin de Pays de France
421,France,France Other,Vin de Pays de l'Ile de Beauté
422,France,France Other,Vin de Pays de la Méditerranée
423,France,France Other,Vin de Pays des Portes de Méditerranée
424,France,France Other,Vin de Savoie
425,France,France Other,Vin de Table Francais
426,France,France Other,Vin Mousseux
427,France,France Other,Vin Pétillant
428,France,France Other,NA
429,France,Languedoc-Roussillon,Aude Hauterive
430,France,Languedoc-Roussillon,Banyuls
431,France,Languedoc-Roussillon,Blanquette de Limoux
432,France,Languedoc-Roussillon,Cabardes
433,France,Languedoc-Roussillon,Collioure
434,France,Languedoc-Roussillon,Corbières
435,France,Languedoc-Roussillon,Corbières-Boutenac
436,France,Languedoc-Roussillon,Coteaux du Languedoc
437,France,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup
438,France,Languedoc-Roussillon,Côtes Catalanes
439,France,Languedoc-Roussillon,Côtes de Thau
440,France,Languedoc-Roussillon,Côtes de Thongue
441,France,Languedoc-Roussillon,Côtes du Roussillon
442,France,Languedoc-Roussillon,Côtes du Roussillon Les Aspres
443,France,Languedoc-Roussillon,Côtes du Roussillon Villages
444,France,Languedoc-Roussillon,Côtes du Roussillon Villages Caramany
445,France,Languedoc-Roussillon,Côtes du Roussillon Villages Tautavel
446,France,Languedoc-Roussillon,Crémant de Limoux
447,France,Languedoc-Roussillon,Faugères
448,France,Languedoc-Roussillon,Fitou
449,France,Languedoc-Roussillon,Gard
450,France,Languedoc-Roussillon,La Clape
451,France,Languedoc-Roussillon,Languedoc
452,France,Languedoc-Roussillon,Limoux
453,France,Languedoc-Roussillon,Maury
454,France,Languedoc-Roussillon,Maury Sec
455,France,Languedoc-Roussillon,Minervois
456,France,Languedoc-Roussillon,Minervois La Liviniere
457,France,Languedoc-Roussillon,Muscat de Rivesaltes
458,France,Languedoc-Roussillon,Muscat de Saint-Jean de Minervois
459,France,Languedoc-Roussillon,Pays d'Oc
460,France,Languedoc-Roussillon,Picpoul de Pinet
461,France,Languedoc-Roussillon,Rivesaltes
462,France,Languedoc-Roussillon,Rivesaltes Rosé
463,France,Languedoc-Roussillon,Sable de Camargue
464,France,Languedoc-Roussillon,Saint Guilhem le Désert
465,France,Languedoc-Roussillon,Saint-Chinian
466,France,Languedoc-Roussillon,Saint-Chinian-Roquebrun
467,France,Languedoc-Roussillon,Vallée du Paradis
468,France,Languedoc-Roussillon,Vin de Pays Cité de Carcassonne
469,France,Languedoc-Roussillon,Vin de Pays d'Oc
470,France,Languedoc-Roussillon,Vin de Pays de L'Aude
471,France,Languedoc-Roussillon,Vin de Pays de L'Herault
472,France,Languedoc-Roussillon,Vin de Pays de la Haute Vallée du Gassac
473,France,Languedoc-Roussillon,Vin de Pays de Montferrand
474,France,Languedoc-Roussillon,Vin de Pays des Coteaux de Bessilles
475,France,Languedoc-Roussillon,Vin de Pays des Côtes Catalanes
476,France,Languedoc-Roussillon,Vin de Pays du Val de Cesse
477,France,Languedoc-Roussillon,NA
478,France,Loire Valley,Anjou
479,France,Loire Valley,Anjou Villages
480,France,Loire Valley,Anjou Villages Brissac
481,France,Loire Valley,Bonnezeaux
482,France,Loire Valley,Bourgueil
483,France,Loire Valley,Cabernet d'Anjou
484,France,Loire Valley,Cabernet de Saumur
485,France,Loire Valley,Châteaumeillant
486,France,Loire Valley,Cheverny
487,France,Loire Valley,Chinon
488,France,Loire Valley,Côte Roannaise
489,France,Loire Valley,Coteaux d'Ancenis
490,France,Loire Valley,Coteaux du Giennois
491,France,Loire Valley,Coteaux du Layon
492,France,Loire Valley,Coteaux du Layon Beaulieu
493,France,Loire Valley,Coteaux du Layon Chaume
494,France,Loire Valley,Coteaux du Layon Saint Aubin
495,France,Loire Valley,Coteaux du Vendômois
496,France,Loire Valley,Cour-Cheverny
497,France,Loire Valley,Crémant de Loire
498,France,Loire Valley,Menetou-Salon
499,France,Loire Valley,Montlouis-sur-Loire
500,France,Loire Valley,Muscadet
501,France,Loire Valley,Muscadet Coteaux de la Loire
502,France,Loire Valley,Muscadet Côtes de Grandlieu
503,France,Loire Valley,Muscadet Sèvre et Maine
504,France,Loire Valley,Muscadet Sèvre et Maine Clisson
505,France,Loire Valley,Pays de Loire
506,France,Loire Valley,Pouilly-Fumé
507,France,Loire Valley,Pouilly-sur-Loire
508,France,Loire Valley,Quarts de Chaume
509,France,Loire Valley,Quincy
510,France,Loire Valley,Reuilly
511,France,Loire Valley,Rosé d'Anjou
512,France,Loire Valley,Rosé de Loire
513,France,Loire Valley,Saint-Nicolas-de-Bourgueil
514,France,Loire Valley,Sancerre
515,France,Loire Valley,Saumur
516,France,Loire Valley,Saumur-Champigny
517,France,Loire Valley,Savennières
518,France,Loire Valley,Savennières-Roche-Aux-Moines
519,France,Loire Valley,Touraine
520,France,Loire Valley,Touraine Amboise
521,France,Loire Valley,Val de Loire
522,France,Loire Valley,Vin de Pays du Jardin de la France
523,France,Loire Valley,Vin de Pays du Val de Loire
524,France,Loire Valley,Vouvray
525,France,Loire Valley,NA
526,France,Provence,Alpilles
527,France,Provence,Bandol
528,France,Provence,Coteaux d'Aix-en-Provence
529,France,Provence,Coteaux de Verdon
530,France,Provence,Coteaux Varois
531,France,Provence,Coteaux Varois en Provence
532,France,Provence,Côtes de Provence
533,France,Provence,Côtes de Provence La Londe
534,France,Provence,Côtes de Provence Sainte-Victoire
535,France,Provence,Les Baux de Provence
536,France,Provence,Palette
537,France,Provence,Var
538,France,Provence,Vin de Pays des Alpilles
539,France,Provence,Vin de Pays des Maures
540,France,Provence,Vin de Pays Var
541,France,Provence,NA
542,France,Rhône Valley,Ardèche
543,France,Rhône Valley,Cévennes
544,France,Rhône Valley,Châteauneuf-du-Pape
545,France,Rhône Valley,Clairette de Bellegarde
546,France,Rhône Valley,Clairette de Die
547,France,Rhône Valley,Clairette de Die Méthode Dioise Ancestrale
548,France,Rhône Valley,Collines Rhôdaniennes
549,France,Rhône Valley,Condrieu
550,France,Rhône Valley,Cornas
551,France,Rhône Valley,Costières de Nîmes
552,France,Rhône Valley,Côte Rôtie
553,France,Rhône Valley,Côtes du Luberon
554,France,Rhône Valley,Côtes du Rhône
555,France,Rhône Valley,Côtes du Rhône Villages
556,France,Rhône Valley,Côtes-du-Ventoux
557,France,Rhône Valley,Crozes-Hermitage
558,France,Rhône Valley,Gigondas
559,France,Rhône Valley,Hermitage
560,France,Rhône Valley,Laudun
561,France,Rhône Valley,Lirac
562,France,Rhône Valley,Luberon
563,France,Rhône Valley,Muscat de Beaumes de Venise
564,France,Rhône Valley,Rasteau
565,France,Rhône Valley,Saint-Joseph
566,France,Rhône Valley,Saint-Péray
567,France,Rhône Valley,Tavel
568,France,Rhône Valley,Vacqueyras
569,France,Rhône Valley,Ventoux
570,France,Rhône Valley,Vin de Pays de Vaucluse
571,France,Rhône Valley,Vin de Pays des Cévennes
572,France,Rhône Valley,Vin de Pays du Gard
573,France,Rhône Valley,Vin Doux Naturel Rasteau
574,France,Rhône Valley,NA
575,France,Southwest France,Béarn
576,France,Southwest France,Bergerac
577,France,Southwest France,Bergerac Rosé
578,France,Southwest France,Bergerac Sec
579,France,Southwest France,Brulhois
580,France,Southwest France,Buzet
581,France,Southwest France,Cahors
582,France,Southwest France,Côtes de Bergerac
583,France,Southwest France,Côtes de Duras
584,France,Southwest France,Côtes de Gascogne
585,France,Southwest France,Côtes de Montravel
586,France,Southwest France,Côtes de Saint-Mont
587,France,Southwest France,Côtes du Frontonnais
588,France,Southwest France,Côtes du Lot
589,France,Southwest France,Côtes du Marmandais
590,France,Southwest France,Côtes du Tarn
591,France,Southwest France,Fronton
592,France,Southwest France,Gaillac
593,France,Southwest France,Gaillac Doux
594,France,Southwest France,Gers
595,France,Southwest France,Irrouléguy
596,France,Southwest France,Jurançon
597,France,Southwest France,Jurançon Sec
598,France,Southwest France,Landes
599,France,Southwest France,Lot
600,France,Southwest France,Madiran
601,France,Southwest France,Marcillac
602,France,Southwest France,Monbazillac
603,France,Southwest France,Montravel
604,France,Southwest France,Pacherenc du Vic Bilh
605,France,Southwest France,Pécharmant
606,France,Southwest France,Périgord
607,France,Southwest France,Saint-Mont
608,France,Southwest France,Saussignac
609,France,Southwest France,Vin de Pays des Côtes de Gascogne
610,France,Southwest France,Vin de Pays du Comté Tolosan
611,France,Southwest France,Vin de Pays du Lot
612,France,Southwest France,NA
613,Georgia,Georgia,NA
614,Georgia,Kakheti,NA
615,Germany,Ahr,NA
616,Germany,Baden,NA
617,Germany,Franken,NA
618,Germany,Germany,NA
619,Germany,Landwein Rhein,NA
620,Germany,Mittelrhein,NA
621,Germany,Mosel,NA
622,Germany,Mosel-Saar-Ruwer,NA
623,Germany,Nahe,NA
624,Germany,Pfalz,NA
625,Germany,Rheingau,NA
626,Germany,Rheinhessen,NA
627,Germany,Württemberg,NA
628,Greece,Achaia,NA
629,Greece,Agioritikos,NA
630,Greece,Amindeo,NA
631,Greece,Amyndeon,NA
632,Greece,Arcadia,NA
633,Greece,Atalanti Valley,NA
634,Greece,Attica,NA
635,Greece,Beotia,NA
636,Greece,Central Greece,NA
637,Greece,Cephalonia,NA
638,Greece,Chalkidiki,NA
639,Greece,Corinth,NA
640,Greece,Corinthia,NA
641,Greece,Crete,NA
642,Greece,Cyclades,NA
643,Greece,Drama,NA
644,Greece,Epanomi,NA
645,Greece,Florina,NA
646,Greece,Goumenissa,NA
647,Greece,Greece,NA
648,Greece,Halkidiki,NA
649,Greece,Imathia,NA
650,Greece,Ismarikos,NA
651,Greece,Korinthia,NA
652,Greece,Krania Olympus,NA
653,Greece,Lakonia,NA
654,Greece,Lesbos,NA
655,Greece,Letrinon,NA
656,Greece,Limnos,NA
657,Greece,Macedonia,NA
658,Greece,Mantinia,NA
659,Greece,Markopoulo,NA
660,Greece,Mavrodaphne de Cephalonie,NA
661,Greece,Mavrodaphne of Patras,NA
662,Greece,Messinia,NA
663,Greece,Monemvasia,NA
664,Greece,Mount Athos,NA
665,Greece,Muscat of Kefallonian,NA
666,Greece,Muscat of Patras,NA
667,Greece,Naoussa,NA
668,Greece,Nemea,NA
669,Greece,Pageon,NA
670,Greece,Pangeon,NA
671,Greece,Patras,NA
672,Greece,Peloponnese,NA
673,Greece,Rapsani,NA
674,Greece,Retsina,NA
675,Greece,Samos,NA
676,Greece,Santorini,NA
677,Greece,Sithonia,NA
678,Greece,Sterea Ellada,NA
679,Greece,Thessalikos,NA
680,Greece,Thraki,NA
681,Greece,Vin de Pays de Velvendo,NA
682,Hungary,Eger,NA
683,Hungary,Hungary,NA
684,Hungary,Mátra,NA
685,Hungary,Sopron,NA
686,Hungary,Szekszárd,NA
687,Hungary,Tokaj,NA
688,Hungary,Tokaji,NA
689,Hungary,Villány,NA
690,India,Nashik,NA
691,Israel,Dan,NA
692,Israel,Ella Valley,NA
693,Israel,Galil,NA
694,Israel,Galilee,NA
695,Israel,Golan Heights,NA
696,Israel,Haut-Judeé,NA
697,Israel,Israel,NA
698,Israel,Jerusalem Hills,NA
699,Israel,Judean Hills,NA
700,Israel,Negev,NA
701,Israel,Negev Hills,NA
702,Israel,Samson,NA
703,Israel,Shomron,NA
704,Israel,Upper Galilee,NA
705,Italy,Central Italy,Abruzzo
706,Italy,Central Italy,Cerasuolo d'Abruzzo
707,Italy,Central Italy,Cesanese del Piglio
708,Italy,Central Italy,Colli Aprutini
709,Italy,Central Italy,Colli di Faenza
710,Italy,Central Italy,Colli Martani
711,Italy,Central Italy,Colli Piacentini
712,Italy,Central Italy,Colline Pescaresi
713,Italy,Central Italy,Colline Teatine
714,Italy,Central Italy,Conero
715,Italy,Central Italy,Controguerra
716,Italy,Central Italy,Emilia
717,Italy,Central Italy,Falerio
718,Italy,Central Italy,Forlì
719,Italy,Central Italy,Frascati
720,Italy,Central Italy,Frascati Superiore
721,Italy,Central Italy,Gutturnio Colli Piacentini
722,Italy,Central Italy,Lambrusco dell'Emilia
723,Italy,Central Italy,Lambrusco di Modena
